Name,Total_Mete
1272 - 28001,381587
6003 - 28001,323323
2158 - 28001,314338
26086 - 28001,69240
97042 - 28001,266729
3106 - 28001,290117
4078 - 28001,441661
16024 - 28001,204680
5005 - 28001,356348
7003 - 28001,424308
9056 - 28001,403731
8031 - 28001,474437
10025 - 28001,372636
14061 - 28001,345594
13075 - 28001,288039
11015 - 28001,316885
12133 - 28001,297018
15146 - 28001,248812
17029 - 28001,158569
21008 - 28001,244685
19036 - 28001,199149
24116 - 28001,46475
18110 - 28001,280716
28060 - 28001,11372
22205 - 28001,188635
25006 - 28001,136009
43023 - 28001,357700
71024 - 28001,653437
45010 - 28001,307977
35033 - 28001,178235
54039 - 28001,363460
30129 - 28001,160579
31007 - 28001,167101
32006 - 28001,189906
29041 - 28001,40147
27042 - 28001,48800
40012 - 28001,179610
39014 - 28001,164018
48017 - 28001,213236
34027 - 28001,206068
37006 - 28001,109809
33032 - 28001,230881
50026 - 28001,289741
52032 - 28001,277970
47014 - 28001,228443
49009 - 28001,308617
51002 - 28001,290123
53011 - 28001,351679
44007 - 28001,430249
23091 - 28001,97848
20030 - 28001,133763
55032 - 28001,441579
46017 - 28001,267746
58091 - 28001,494962
67041 - 28001,446900
59011 - 28001,552794
64008 - 28001,712410
79023 - 28001,107183
76063 - 28001,823506
63049 - 28001,686656
61022 - 28001,659933
65116 - 28001,728123
66049 - 28001,500880
72006 - 28001,773722
70006 - 28001,635601
77014 - 28001,822242
69022 - 28001,478541
42002 - 28001,320601
73027 - 28001,867165
74001 - 28001,886126
78045 - 28001,980045
38008 - 28001,68770
68028 - 28001,467368
41044 - 28001,254381
36023 - 28001,150287
75035 - 28001,923400
80063 - 28001,116437
96004 - 28001,341155
98031 - 28001,267682
110001 - 28001,722541
110002 - 28001,727566
110009 - 28001,731319
103072 - 28001,324117
102047 - 28001,107539
101010 - 28001,105915
108033 - 28001,239792
94023 - 28001,606937
100005 - 28001,212498
109006 - 28001,375632
56059 - 28001,423704
62008 - 28001,692191
57059 - 28001,479605
93033 - 28001,118634
60038 - 28001,548972
99014 - 28001,223239
